proto,class,support,mean_resid,p90_resid
304,35,38.0,0.3056742654819238,0.40865626931190496
305,35,54.0,0.4699471460448371,0.625273072719574
306,35,18.0,0.5011309799220827,0.7097248017787935
307,35,127.0,0.4499025439887535,0.6163656115531921
308,35,31.0,0.3832473870246641,0.6119495630264282
309,35,41.0,0.3725934773683548,0.45924022793769836
310,35,13.0,0.514601700581037,0.6508126139640809
311,36,57.0,0.4271730153184188,0.6363406538963318
312,36,35.0,0.5282643863133022,0.660992968082428
313,36,128.0,0.5650901473127306,0.7417259991168975
314,36,34.0,0.39162730118807626,0.4855711370706558
315,36,25.0,0.45703315377235415,0.6097701549530029
316,36,32.0,0.4699858194217086,0.6345765054225923
317,36,22.0,0.44351899082010443,0.5905019998550415
318,36,19.0,0.487503098814111,0.734967815876007
319,37,22.0,0.268622639504346,0.3475611239671707
320,37,27.0,0.38413147573117856,0.4593127489089966
321,37,62.0,0.38019239566018503,0.5069288909435272
322,37,35.0,0.2605106958321163,0.33167429566383366
323,37,19.0,0.40749752129379074,0.5818835258483886
324,37,67.0,0.38526908586274333,0.49377405643463135
325,37,15.0,0.31446268459161125,0.39454750418663026
326,37,77.0,0.309282851683629,0.4375341415405274
327,37,16.0,0.443668644875288,0.5883301198482513
328,37,25.0,0.3650262212753296,0.45402019619941714
329,38,27.0,0.5119186308648851,0.6826139807701112
330,38,51.0,0.5092486563850852,0.6684339642524719
331,38,36.0,0.5287649838460816,0.7116058468818665
332,38,57.0,0.5181659475753182,0.6491522908210754
333,38,40.0,0.4460237115621567,0.5658296704292298
334,38,66.0,0.4085804363994887,0.5692571401596069
335,38,30.0,0.5369479636351268,0.665354460477829
336,38,77.0,0.5002047930444989,0.6472374200820924
337,39,46.0,0.4581218931985938,0.5958857238292694
338,39,18.0,0.43569807045989567,0.5670696020126342
339,39,16.0,0.426762075163424,0.5559162497520447
340,39,15.0,0.5228812396526337,0.6541378259658813
341,39,63.0,0.41374378095543574,0.559918200969696
342,39,44.0,0.37629803541031753,0.5065456807613373
343,39,120.0,0.49853590403993925,0.7215621054172516
344,39,21.0,0.37463770310084027,0.46112778782844543
345,39,39.0,0.40384317055726665,0.5517498254776002
346,40,75.0,0.5349930902322133,0.6667837500572206
347,40,26.0,0.4658123885209744,0.7064104378223419
348,40,29.0,0.5021844989266889,0.7073180794715881
349,40,19.0,0.4865619399045643,0.7359966039657593
350,40,34.0,0.5042738020420074,0.6900358736515045
351,40,31.0,0.4326476127870621,0.5692059397697449
352,40,43.0,0.5577831628710724,0.7089520573616028
353,40,18.0,0.5141110751363966,0.6704471290111542
354,41,30.0,0.43849073896805446,0.5906282365322114
355,41,23.0,0.5278620240481003,0.7643683552742004
356,41,23.0,0.4772938127103059,0.6929319500923157
357,41,21.0,0.5979322847865877,0.7197319269180298
358,41,19.0,0.4559738024284965,0.5255251526832581
359,41,63.0,0.5697199725915515,0.7768836736679077
360,41,7.0,0.4564769949231829,0.5855198979377747
361,41,26.0,0.41977938321920544,0.5143148899078369
362,41,23.0,0.4383442363013392,0.6045056343078613
363,42,20.0,0.44724246859550476,0.5523631155490876
364,42,39.0,0.36508520100361264,0.519889497756958
365,42,94.0,0.5273530343745617,0.8949068725109102
366,42,34.0,0.4599932239336126,0.5568064510822296
367,42,112.0,0.7940132325249059,1.1682775020599365
368,42,28.0,0.5949436862553868,1.2652934312820434
369,42,38.0,0.3242660529519382,0.5116553604602815
370,43,29.0,0.35932020637495765,0.5263601303100586
371,43,46.0,0.35915575046902115,0.5152117311954498
372,43,14.0,0.34109653319631306,0.4368847906589508
373,43,25.0,0.31038682281970975,0.41976765990257264
374,43,50.0,0.45507594823837283,0.5734001338481903
375,43,25.0,0.47441314816474917,0.6238124966621399
376,43,43.0,0.4077954299228136,0.5873802781105044
377,43,29.0,0.3425297798781559,0.4292636454105377
378,43,87.0,0.5403902482712406,0.7092008113861085
379,44,52.0,0.6987299174070358,1.0793576717376707
380,44,27.0,0.5408391786946191,0.7145040512084961
381,44,57.0,0.6501999534012979,1.0162747859954833
382,44,18.0,0.5510327832566367,0.8585138440132143
383,44,18.0,0.41722798181904686,0.5116887122392655
384,44,17.0,0.4620203971862793,0.6612844944000245
385,44,13.0,0.4719327160945305,0.6182620644569397
386,44,23.0,0.49742858500584314,1.0506459951400757
387,45,48.0,0.5064874961972237,0.6298900187015534
388,45,35.0,0.4344782556806292,0.5853830814361572
389,45,34.0,0.46516942714943604,0.6005727648735046
390,45,42.0,0.5350593569732848,0.6877794682979583
391,45,34.0,0.48929031543871937,0.6263720333576202
392,45,13.0,0.49020078778266907,0.6231561899185181
393,45,60.0,0.41715067873398465,0.5072735369205474
394,45,114.0,0.5928833766987449,0.7585879504680634
395,46,33.0,0.4584475349296223,0.5659974455833435
396,46,39.0,0.5864256085493625,0.7830330371856692
397,46,41.0,0.6212143396458975,0.8626545667648315
398,46,19.0,0.570239644301565,0.7255001544952392
399,46,139.0,0.6257231966625872,0.9419119358062744
400,46,30.0,0.4634067396322886,0.6316800773143768
401,46,60.0,0.5511904522776604,0.7801629841327667
