proto_i,class_i,proto_j,class_j,dist,mean_resid_i,p90_resid_i,mean_resid_j,p90_resid_j
303,35,23,2,0.4168285131454468,0.4656291774341038,0.5983594000339508,0.5628216124716259,0.6685859560966492
80,9,383,44,0.41818323731422424,0.30182333077703205,0.411795312166214,0.41722798181904686,0.5116887122392655
206,24,5,0,0.41967159509658813,0.35288603438271415,0.4233745932579041,0.3902083124433245,0.49993758201599126
263,30,194,22,0.4199957251548767,0.4513991469876808,0.6586697220802307,0.36888616649728073,0.4770984053611755
37,4,400,46,0.42265093326568604,0.5005853801965714,0.5972973704338075,0.4634067396322886,0.6316800773143768
400,46,37,4,0.42265093326568604,0.4634067396322886,0.6316800773143768,0.5005853801965714,0.5972973704338075
170,19,328,37,0.4231640100479126,0.461363759636879,0.5849092662334443,0.3650262212753296,0.45402019619941714
308,35,23,2,0.4232763648033142,0.3832473870246641,0.6119495630264282,0.5628216124716259,0.6685859560966492
132,15,348,40,0.4239967167377472,0.40654246703438135,0.5466677069664001,0.5021844989266889,0.7073180794715881
92,10,79,9,0.424116313457489,0.4944975267757069,0.6465495824813843,0.34717151522636414,0.42316143512725835
219,25,81,9,0.4243032932281494,0.41688971604619707,0.5842467546463013,0.2728891949290815,0.41883856058120733
351,40,134,15,0.42434120178222656,0.4326476127870621,0.5692059397697449,0.4697475731372833,0.6304615318775177
259,30,283,32,0.4243738055229187,0.3978986998921947,0.6114976048469544,0.46494260430336,0.6637409567832947
179,20,292,33,0.424381285905838,0.4461571517917845,0.5841501593589783,0.31191978871822357,0.4351323187351227
292,33,179,20,0.424381285905838,0.31191978871822357,0.4351323187351227,0.4461571517917845,0.5841501593589783
376,43,197,22,0.42825761437416077,0.4077954299228136,0.5873802781105044,0.41201752157353644,0.6524001598358153
56,6,323,37,0.4285639226436615,0.469264262101867,0.5472920835018158,0.40749752129379074,0.5818835258483886
228,26,219,25,0.42898011207580566,0.42520443130941954,0.5437578558921814,0.41688971604619707,0.5842467546463013
32,3,98,11,0.42948585748672485,0.3583574128838686,0.5088467597961426,0.4184425900379817,0.5964248895645141
146,17,37,4,0.4298529326915741,0.5059499243895212,0.6329382538795472,0.5005853801965714,0.5972973704338075
151,17,36,4,0.42999234795570374,0.4297216008691227,0.5012593746185303,0.599022480348746,0.8441201925277709
66,7,385,44,0.4304034411907196,0.3554155538479487,0.48476603627204895,0.4719327160945305,0.6182620644569397
374,43,389,45,0.4305979609489441,0.45507594823837283,0.5734001338481903,0.46516942714943604,0.6005727648735046
389,45,374,43,0.4305979609489441,0.46516942714943604,0.6005727648735046,0.45507594823837283,0.5734001338481903
112,13,94,11,0.4307563006877899,0.3324239418424409,0.41115357875823977,0.4454644674604589,0.5581307411193848
89,10,383,44,0.4308081567287445,0.45529799312353136,0.6059349656105042,0.41722798181904686,0.5116887122392655
182,20,286,33,0.43118754029273987,0.3355473866065343,0.41955288648605343,0.3222056356845079,0.47658545374870304
224,26,1,0,0.4312090575695038,0.49335612471287066,0.6877286076545716,0.4074270653313604,0.5743678450584412
180,20,284,33,0.4323137700557709,0.40892482855740714,0.5889585971832275,0.31838287226855755,0.4641245335340499
284,33,180,20,0.4323137700557709,0.31838287226855755,0.4641245335340499,0.40892482855740714,0.5889585971832275
122,14,243,28,0.43496614694595337,0.48903295681590125,0.6344711780548096,0.3471986258571798,0.48600986897945403
399,46,135,15,0.4351746141910553,0.6257231966625872,0.9419119358062744,0.6559809911996126,0.8375736474990845
190,22,374,43,0.4364231824874878,0.4326740959469153,0.5682200908660889,0.45507594823837283,0.5734001338481903
17,2,302,35,0.4365796446800232,0.5479109813185299,0.7010014772415161,0.3708339696129163,0.5192716777324677
91,10,38,4,0.43812984228134155,0.4130226827186087,0.46292006969451904,0.3929695136643745,0.563455069065094
361,41,98,11,0.43827036023139954,0.41977938321920544,0.5143148899078369,0.4184425900379817,0.5964248895645141
316,36,194,22,0.43900325894355774,0.4699858194217086,0.6345765054225923,0.36888616649728073,0.4770984053611755
62,7,80,9,0.43991464376449585,0.35573792923241854,0.44657448530197147,0.30182333077703205,0.411795312166214
240,27,386,44,0.4410444498062134,0.3924822630109014,0.5300293326377868,0.49742858500584314,1.0506459951400757
215,25,228,26,0.44320735335350037,0.443239834691797,0.5844921827316285,0.42520443130941954,0.5437578558921814
20,2,94,11,0.4454156458377838,0.48738061085991236,0.6420874238014221,0.4454644674604589,0.5581307411193848
196,22,202,23,0.4474627673625946,0.5214334304134051,0.6757878601551056,0.4586478444662961,0.585303980112076
202,23,196,22,0.4474627673625946,0.4586478444662961,0.585303980112076,0.5214334304134051,0.6757878601551056
139,16,57,6,0.44857510924339294,0.41324078078780857,0.5690826296806335,0.345143533051014,0.4584914416074753
315,36,372,43,0.4497848451137543,0.45703315377235415,0.6097701549530029,0.34109653319631306,0.4368847906589508
119,13,4,0,0.4509855806827545,0.41357521139658415,0.5240464866161346,0.38472727239131926,0.4784892559051514
250,29,393,45,0.4510599374771118,0.4897032161784727,1.1242775440216066,0.41715067873398465,0.5072735369205474
306,35,17,2,0.45147526264190674,0.5011309799220827,0.7097248017787935,0.5479109813185299,0.7010014772415161
69,8,98,11,0.4515934884548187,0.4789498634636402,0.7036140859127045,0.4184425900379817,0.5964248895645141
334,38,167,19,0.45166701078414917,0.4085804363994887,0.5692571401596069,0.4450549738747733,0.5911239266395569
181,20,291,33,0.4537234306335449,0.37748279726063766,0.4864211738109589,0.32512847799807787,0.47009119391441345
391,45,178,20,0.45482873916625977,0.48929031543871937,0.6263720333576202,0.3745594572495012,0.4770769506692886
70,8,169,19,0.4552685022354126,0.43162544277207604,0.65018972158432,0.43419252990222557,0.5645472407341003
143,16,56,6,0.4587332308292389,0.5405583521899056,0.689786970615387,0.469264262101867,0.5472920835018158
164,18,166,19,0.4598435163497925,0.3889027200639248,0.5205322980880737,0.44686955213546753,0.6272003054618835
166,19,164,18,0.4598435163497925,0.44686955213546753,0.6272003054618835,0.3889027200639248,0.5205322980880737
75,8,287,33,0.46076613664627075,0.4530410163104534,0.6439003944396973,0.3754283154010773,0.4613810390233994
287,33,75,8,0.46076613664627075,0.3754283154010773,0.4613810390233994,0.4530410163104534,0.6439003944396973
261,30,267,31,0.462035208940506,0.5456844673437231,0.7648710787296294,0.5253561292633866,0.6506083726882934
267,31,261,30,0.462035208940506,0.5253561292633866,0.6506083726882934,0.5456844673437231,0.7648710787296294
186,21,9,1,0.46222802996635437,0.41573814016122085,0.6852031350135803,0.3033594169160899,0.47128286659717583
200,23,154,17,0.4627821147441864,0.5583558479944865,1.05583758354187,0.32800127965648,0.5279367566108704
344,39,208,24,0.4642414152622223,0.37463770310084027,0.46112778782844543,0.31640308016333085,0.4370983898639679
277,32,203,23,0.46455246210098267,0.3692154083400965,0.49756365120410917,0.37293649166822435,0.5018222421407701
289,33,181,20,0.46532467007637024,0.3767914958929611,0.509767484664917,0.37748279726063766,0.4864211738109589
2,0,318,36,0.465375691652298,0.4319767475128174,0.6749587535858154,0.487503098814111,0.734967815876007
318,36,2,0,0.465375691652298,0.487503098814111,0.734967815876007,0.4319767475128174,0.6749587535858154
270,31,276,32,0.4654061496257782,0.41438533948815387,0.511742627620697,0.4168592309579253,0.582573401927948
375,43,365,42,0.4655686318874359,0.47441314816474917,0.6238124966621399,0.5273530343745617,0.8949068725109102
106,12,345,39,0.4701159596443176,0.4517792339126269,0.5744994282722473,0.40384317055726665,0.5517498254776002
345,39,106,12,0.4701159596443176,0.40384317055726665,0.5517498254776002,0.4517792339126269,0.5744994282722473
76,9,92,10,0.47087588906288147,0.33031767926045824,0.44754457473754883,0.4944975267757069,0.6465495824813843
279,32,203,23,0.47145208716392517,0.4033939436725948,0.5451595783233643,0.37293649166822435,0.5018222421407701
262,30,268,31,0.4716045558452606,0.47100041309992474,0.7311912536621095,0.49411357831263886,0.6643242239952087
268,31,262,30,0.4716045558452606,0.49411357831263886,0.6643242239952087,0.47100041309992474,0.7311912536621095
331,38,263,30,0.47375038266181946,0.5287649838460816,0.7116058468818665,0.4513991469876808,0.6586697220802307
25,2,307,35,0.4743836224079132,0.5666491596066222,0.7203744411468506,0.4499025439887535,0.6163656115531921
307,35,25,2,0.4743836224079132,0.4499025439887535,0.6163656115531921,0.5666491596066222,0.7203744411468506
188,21,396,46,0.47528043389320374,0.4755077820557814,0.6053837537765503,0.5864256085493625,0.7830330371856692
396,46,188,21,0.47528043389320374,0.5864256085493625,0.7830330371856692,0.4755077820557814,0.6053837537765503
61,7,76,9,0.47608044743537903,0.3489745995029807,0.43669284880161285,0.33031767926045824,0.44754457473754883
387,45,133,15,0.47636187076568604,0.5064874961972237,0.6298900187015534,0.2852469895567213,0.38066333532333374
353,40,92,10,0.4768790900707245,0.5141110751363966,0.6704471290111542,0.4944975267757069,0.6465495824813843
